Transaction_id,Sender,Receiver,Amount,Currency,Country,Transaction Type,Description,Date,Transaction Flow,Is_Suspicious,Suspicion Category
5bad3fcd-448d-4638-9fd3-d21427c0eb35,Pacific International GmbH,Elite Group Inc,8850.18,EUR,Germany,WIRE,"Event expense - EE-2025-1414, Inv EVENT-2025101414",2023-01-21,Internal,False,Normal
64435937-32b6-4bb8-97a7-cd34c08fb7fb,First European Trading,World Tech Corp,1393.07,CHF,United Kingdom,WIRE,"Insurance broker comm => BRK-2025011957, policy INS-2025-1957",2023-12-04,Internal,False,Normal
247a2a01-d3b1-4959-9ce7-f4510fb1c8a6,Global Tech Corp,Global Development Corp,3093.46,EUR,Germany,WIRE,"Fund administration fee - FADM-2025-9222, Inv: FADMIN-2025029222",2023-03-07,Internal,False,Normal
52af62ae-16fc-4dd4-a17a-d953a1a019b2,Royal Logistics AG,Elite Tech Limited,4584.29,CHF,United States,WIRE,"Lodging reservation fee - LODG-2025-2891, Inv: RB-2025032891",2023-06-21,Internal,False,Normal
0d8b7e62-93c6-4d07-8e89-b5f18702ac5f,New Atlantic Capital,International Holdings Ltd,5039.41,EUR,United Kingdom,WIRE,"Fleet admin fee - FAF-2025-4043, Inv: ADMIN-2025054043",2023-06-01,Internal,False,Normal
ceb85f2e-7a53-4a05-95cc-0374923fc3f2,Atlantic International Corp,Universal Logistics Limited,6891.57,USD,United States,WIRE,"Vehicle registration fee - VRF-2025-9411, Inv: REG-2025049411",2023-03-22,Internal,False,Normal
da4edac3-47a7-46b8-9559-cfeaeeec70ff,Atlantic International Corp,Universal Consulting Limited,7575.21,GBP,United States,WIRE,"Fleet tracking service - FTS-2025-9640, Inv: TRACK-2025019640",2023-11-21,Internal,False,Normal
b6e0c9ad-3311-4ccc-b024-82df4a113417,Premier Pacific Solutions,Crown Trade Ltd,4274.79,EUR,United States,WIRE,"Event venue decor service - EVDS-2025-4671, Inv: VENDEC-2025074671",2023-01-04,Internal,False,Normal
260d5487-7d68-4e4c-81d1-219947369f97,Global Services Pte Ltd,Eastern International AG,6559.47,JPY,United Kingdom,WIRE,"Register tally - RT-2025-9360, Inv TALLY-2025019360",2023-10-26,Internal,False,Normal
eee14677-6199-44a3-b19a-458d0c5531af,Continental Trading GmbH,Apex Investments AG,2707.64,CHF,United Kingdom,WIRE,"Solar panel installation - SOL-2025-9116, docNo SUN-2025049116",2023-12-13,Internal,False,Normal
00d7fa54-c4ef-428d-89c2-519633180b48,Southern Solutions AG,Universal Logistics S.A.,4410.79,JPY,United States,WIRE,"Surgical mask bulk order - MASK-2025-1726, Inv: BULK-2025031726",2023-12-14,Internal,False,Normal
8defaf30-a939-46e3-b860-4da07f39817f,Summit Tech Inc,Crown Finance Corp,8577.63,EUR,United States,WIRE,"Fuel storage fee - FSF-2025-1285, Inv: STORE-2025101285",2023-12-23,Internal,False,Normal
8774fd35-efb2-4a44-9d1b-967a27ec7b22,Global Logistics S.A.,Premier Pacific Group,9349.37,EUR,Germany,WIRE,"Equip maintenance - EM-2025-2393, Inv: MAIN-2025032393",2023-06-22,Internal,False,Normal
43603427-2822-4f27-96ee-510f3980b60d,World Trade S.A.,Omega Global Pte Ltd,9389.48,JPY,United Kingdom,WIRE,"Bulk SMS order - BSO-2025-1971, Inv: BULK-2025021971",2023-09-03,Internal,False,Normal
635f6644-33d6-4e7e-b121-b5f256dbc434,Southern Solutions AG,Beta Maritime Limited,9977.86,EUR,United Kingdom,WIRE,"Medical staffing fee - MSF-2025-6196, Inv: STAFF-2025026196",2023-12-24,Internal,False,Normal
b374793e-fc4d-46f7-88df-464666e336ad,Prime Services Limited,First Southern Partners,8273.87,CHF,Germany,WIRE,"Facade restoration - FRS-2025-7713, Inv: REST-2025097713",2023-10-23,Internal,False,Normal
9eb81382-1b70-49b0-9a53-c2c704c241ec,Atlantic International Corp,Premier Asia Trading,3888.64,CHF,Germany,WIRE,"Fleet maintenance contract - Fleet: FLT-2025-1487, Doc MNT-2025041487",2023-05-04,Internal,False,Normal
3aafe433-0dd5-494f-bc6e-0360030a1a7f,Global Tech Corp,Apex Development Ltd,2955.95,EUR,United States,WIRE,"Private banking service fee - Account: PB-2025-2437, Invoice: PRIV-2025022437",2023-10-17,Internal,False,Normal
7566ae2a-21b9-4a27-9c4e-c53afef96f7e,First Atlantic International,Atlantic Holdings Pte Ltd,3326.59,JPY,United Kingdom,WIRE,"Equity trading fee - Trade: EQT-2025-4787, Inv: TRD-2025014787",2023-07-20,Internal,False,Normal
82b15142-2f1e-44d8-9400-fd7653946dc5,Crown Maritime B.V.,Crown Finance S.A.,5810.36,CHF,United States,WIRE,"Cloud sub ID: CLD-3671-2025, BillRef SUB-2025113671",2023-09-29,Internal,False,Normal
38d76827-0f41-4bdb-9fa0-4bb30a68491f,Continental Solutions LLC,New Asia Ventures,9884.22,JPY,United Kingdom,WIRE,"System review - ESR-2025-9962, Inv: REVIEW-2025059962",2023-08-24,Internal,False,Normal
ad1210df-d0ae-4571-8f1f-0c5ade5a3474,Elite Services Inc,Omega Global S.A.,9285.45,USD,United Kingdom,WIRE,"Data analytics - DA-2025-4038, Inv: ANALY-2025094038",2023-03-03,Internal,False,Normal
dd9d7c11-d0a6-4463-a334-3c6b5ecb18f4,Global Tech Corp,European Solutions GmbH,1429.87,EUR,Germany,WIRE,"Financial analysis / ANL-2025063374, FIN-3374-2025",2023-12-11,Internal,False,Normal
92742171-5bd2-499f-9699-6b44a2703dd8,Prime Services Limited,New Asia International,1158.62,GBP,Germany,WIRE,"Project management fee - PMF-2025-8062, Inv: MGT-2025058062",2023-07-11,Internal,False,Normal
07749fbc-e490-48de-b4a9-7a0d32079328,Omega Trade Corp,New Continental Solutions,4436.22,EUR,United States,WIRE,"Custody service fee - CUST-2025-3608, Inv: CUSTF-2025053608",2023-12-11,Internal,False,Normal
d692d83d-dcff-4d5a-9ed4-f4fd4902c7b3,Omega Development B.V.,European Holdings Inc,6439.92,JPY,Germany,WIRE,"Spill prevention - OSP-2025-4194, Inv: PREV-2025074194",2023-04-04,Internal,False,Normal
fa3bfa06-690b-489b-a808-780781704500,Omega Trade Corp,First Continental Trading,1703.92,EUR,United States,WIRE,"Investment risk audit - IRA-2025-7794, Inv: RISAUD-2025117794",2023-04-05,Internal,False,Normal
7492a5c6-c3ea-488d-a730-31bca51a8e7e,Universal Trade Ltd,World Tech LLC,1241.52,JPY,United Kingdom,WIRE,"Service charge - SC-2025-8362, Inv SERV-2025098362",2023-09-24,Internal,False,Normal
88b9d48b-959c-4abf-b9c2-c59adc1b9a79,Northern Solutions Ltd,Pacific Holdings Ltd,5548.65,CHF,Germany,WIRE,"Banquet hall rental - BANQ-2025-4057, Inv: RENT-2025084057",2023-05-20,Internal,False,Normal
6e8e8b33-e032-41bd-a902-bccdb56da3c1,Global Tech Corp,Alpha Finance Ltd,5036.97,JPY,United States,WIRE,"Portfolio rebalancing fees - Portfolio: PRF-2025-1607, Invoice: BAL-2025011607",2023-09-20,Internal,False,Normal
cfbfbfe6-2e72-4fc5-951b-6cfcd3d08277,Crown Energy Inc,Elite Trading Pte Ltd,4563.83,USD,United Kingdom,WIRE,"Syndicated loan fee - SLOAN-2025-4972, Inv: SYND-2025084972",2023-08-29,Internal,False,Normal
2ee3620f-dea0-44b4-b7de-c4fd39fc3d67,International Trading GmbH,Premier International Group,2343.8,EUR,Germany,WIRE,"API re-integration service - API ID: REAPI-2025-6029, Invoice: INTNEW-2025056029",2023-04-10,Internal,False,Normal
9ed4d425-04f7-4636-a290-d73cc6290b93,Continental Solutions LLC,First Atlantic Capital,3073.92,JPY,United States,WIRE,"Fuel logistics fee - FLF-2025-1173, Inv: LOG-2025101173",2023-05-28,Internal,False,Normal
