Transaction_id,Sender,Receiver,Amount,Currency,Country,Transaction Type,Description,Date,Transaction Flow,Is_Suspicious,Suspicion Category
c31de2ee-2966-4bf7-8327-075c43971a0d,First International Capital,Royal Development Corp,3954.29,GBP,United States,WIRE,"Portfolio rebalance? BAL-2025049164, ID PRF-9164-2025",2023-10-11,Internal,False,Normal
9b6d3e47-cc4f-4970-ac67-8e77cbfc01c7,Crown Trade Limited,Elite Investments Corp,5558.77,USD,United States,WIRE,"Highway toll aggregator - TOLL-2025-1813, Invoice HWTL-2025091813",2023-10-30,Internal,False,Normal
e55bcc63-c357-4044-8a66-d9aff27384cd,Crown Partners Pte Ltd,Northern Group Ltd,4585.59,CHF,Germany,WIRE,"Network security check - NSC-2025-3175, Inv: SEC-2025033175",2023-11-19,Internal,False,Normal
e7113cf2-afb5-4f8e-beb2-f86aeee34662,Summit Capital GmbH,Premier Eastern Group,8276.82,EUR,Germany,WIRE,"Distribution shipment - DistRef: DIST-2025-6332, Inv LOG-2025046332",2023-11-16,Internal,False,Normal
10648a94-d71c-46c9-bf69-61e5ede84ccb,Eastern Capital Inc,Omega Capital Corp,1665.64,EUR,United States,WIRE,"Network switch upgrade - NSU-2025-3285, Inv: SWITCH-2025113285",2023-08-26,Internal,False,Normal
61367cab-4d29-4cc5-b02a-1ea50199176b,Universal Finance Ltd,Atlantic Capital AG,6057.74,JPY,United Kingdom,WIRE,"Software renewal - SWR-2025-2048, Inv SOFT-2025042048",2023-11-09,Internal,False,Normal
5d0b30f5-b712-4459-b1ba-144fc559e8b3,World Development B.V.,Royal Trade AG,3484.0,EUR,United States,WIRE,"VPN subscription - VPNS-2025-2731, Inv: SUB-2025102731",2023-10-05,Internal,False,Normal
d16c628c-a94d-4156-8123-232c182e6128,Delta Services AG,First Eastern Investments,4082.38,GBP,Germany,WIRE,"VoIP upgrade - VUP-2025-5223, Inv: UPGR-2025125223",2023-01-27,Internal,False,Normal
9e13d83b-ad19-4f8c-92c5-2bc084ef9d5b,PACRIM CAPITAL INTERNATIONAL INC.,Delta Capital S.A.,8281.13,GBP,United States,WIRE,"Healthcare audit - HCA-2025-8696, Inv: AUDIT-2025108696",2023-01-30,Internal,False,Normal
475fe787-f0c8-4366-aac8-d12bb46b9871,World Finance Ltd,Apex Logistics Ltd,8493.81,GBP,United Kingdom,WIRE,"Transformer service - TS-2025-4310, Inv: SERV-2025064310",2023-06-26,Internal,False,Normal
768c8cb1-a4ad-424d-a257-e62fa026abad,Global Maritime LLC,Prime International GmbH,4683.86,EUR,United Kingdom,WIRE,"Insurance broker comm => BRK-2025063024, policy INS-2025-3024",2023-03-06,Internal,False,Normal
2aa62ffa-4d85-4e15-b6fd-461ba94d4782,Alpha Services B.V.,First European Group,6930.7,CHF,United States,WIRE,"Online sale - OS-2025-6001, Inv OSALE-2025116001",2023-02-22,Internal,False,Normal
8bad68da-105f-4479-b902-a2233b488638,Continental Solutions B.V.,Crown Logistics Ltd,7304.16,GBP,Germany,WIRE,"Network patch upgrade - NPU-2025-5168, Inv: PATCH-2025045168",2023-11-28,Internal,False,Normal
a95c3934-72d1-41f2-9c63-fc353f48ec96,Crown Partners Pte Ltd,Royal Ventures Limited,1532.57,EUR,United Kingdom,WIRE,"5G upgrade fee - 5GUF-2025-1057, Inv: UPGR-2025091057",2023-12-04,Internal,False,Normal
7300414c-0a0a-47b0-841b-0d739775187b,Global Maritime LLC,Omega Logistics Ltd,8481.85,GBP,United States,WIRE,"Derivatives clearing fee - DCL-2025-2545, Inv: CLEAR-2025082545",2023-09-23,Internal,False,Normal
a12b2e1e-03b1-4ba4-8409-3ac630ee8312,Delta Services AG,First Western Trading,7343.27,EUR,United States,WIRE,"SMS charge - SMSC-2025-3616, Inv: CHG-2025033616",2023-06-20,Internal,False,Normal
038e0643-a3fe-423d-a6e8-b52d0514ca97,Global Tech LLC,Crown Solutions LLC,8601.25,JPY,United States,WIRE,"Plumbing service charge - PLUMB-2025-3143, Inv: SERV-2025023143",2023-12-07,Internal,False,Normal
fbedf7d8-95ca-41c1-8159-bba11287ec07,Summit Investments Corp,Prime Consulting Limited,9395.49,CHF,Germany,WIRE,"POS hardware update - PHU-2025-9899, Inv HARD-2025019899",2023-07-16,Internal,False,Normal
282e09b2-87ec-4fc3-a56a-34902ed9385b,New Asia Capital,Apex Logistics B.V.,2359.9,CHF,Germany,WIRE,"Network security check - NSC-2025-5121, Inv: SEC-2025015121",2023-09-09,Internal,False,Normal
