mode,variant,algo,train data package,test data package,roc_auc,pr_auc,thr@R>=0.98,precision@R,recall@thr,TP,FP,TN,FN,FP_per_1000,n_test
incremental,adasyn,GBM,B2,B3,0.9922,0.4181,0.0001,0.3279,1,20.0000,41.0000,1959.0000,0.0000,20.2970,2020
incremental,adasyn,GBM,B4,B5,0.9612,0.5704,0.0012,0.1322,1,30.0000,197.0000,1793.0000,0.0000,97.5248,2020
incremental,baseline,XGB,B4,B5,0.9702,0.5826,0.0036,0.1515,1,30.0000,168.0000,1822.0000,0.0000,83.1683,2020
incremental,smote,GBM,B4,B5,0.9801,0.6097,0.0062,0.2041,1,30.0000,117.0000,1873.0000,0.0000,57.9208,2020
incremental,adasyn,RF,B4,B5,0.9793,0.6271,0.1333,0.1210,1,30.0000,218.0000,1772.0000,0.0000,107.9208,2020
incremental,adasyn,RF,B1,B2,0.9842,0.6310,0.1267,0.1302,1,28.0000,187.0000,1805.0000,0.0000,92.5743,2020
full_retrain,adasyn,GBM,B1,B2,0.9690,0.7293,0.0000,0.0541,1,28.0000,490.0000,1502.0000,0.0000,242.5743,2020
incremental,smote,RF,B4,B5,0.9811,0.6629,0.1067,0.0952,1,30.0000,285.0000,1705.0000,0.0000,141.0891,2020
incremental,baseline,GBM,B4,B5,0.9847,0.6692,0.0013,0.2632,1,30.0000,84.0000,1906.0000,0.0000,41.5842,2020
incremental,baseline,RF,B4,B5,0.9807,0.6775,0.0500,0.0539,1,30.0000,527.0000,1463.0000,0.0000,260.8911,2020
incremental,adasyn,XGB,B4,B5,0.9906,0.6859,0.0269,0.3704,1,30.0000,51.0000,1939.0000,0.0000,25.2475,2020
full_retrain,adasyn,GBM,B1+B2+B3+B4,B5,0.9992,0.9679,0.0061,0.4478,1,30.0000,37.0000,1953.0000,0.0000,18.3168,2020
incremental,smote,GBM,B1,B2,0.9663,0.7278,0.0000,0.0498,1,28.0000,534.0000,1458.0000,0.0000,264.3564,2020
incremental,adasyn,GBM,B1,B2,0.9690,0.7293,0.0000,0.0541,1,28.0000,490.0000,1502.0000,0.0000,242.5743,2020
full_retrain,adasyn,GBM,B1+B2+B3,B4,0.9998,0.9882,0.0019,0.7250,1,29.0000,11.0000,1980.0000,0.0000,5.4455,2020
full_retrain,adasyn,GBM,B1+B2,B3,0.9999,0.9930,0.1373,0.9091,1,20.0000,2.0000,1998.0000,0.0000,0.9901,2020
full_retrain,adasyn,RF,B1,B2,0.9842,0.6310,0.1267,0.1302,1,28.0000,187.0000,1805.0000,0.0000,92.5743,2020
incremental,baseline,GBM,B1,B2,0.9068,0.7341,0.0000,0.0139,1,28.0000,1992.0000,0.0000,0.0000,986.1386,2020
incremental,smote,RF,B1,B2,0.9865,0.7466,0.1333,0.1333,1,28.0000,182.0000,1810.0000,0.0000,90.0990,2020
full_retrain,adasyn,RF,B1+B2+B3,B4,0.9998,0.9890,0.2100,0.8056,1,29.0000,7.0000,1984.0000,0.0000,3.4653,2020
incremental,smote,XGB,B4,B5,0.9949,0.7675,0.0415,0.4688,1,30.0000,34.0000,1956.0000,0.0000,16.8317,2020
incremental,smote,GBM,B2,B3,0.9981,0.8396,0.0025,0.6897,1,20.0000,9.0000,1991.0000,0.0000,4.4554,2020
incremental,baseline,XGB,B1,B2,0.9932,0.8793,0.0043,0.1687,1,28.0000,138.0000,1854.0000,0.0000,68.3168,2020
