mode,variant,algo,train_waves,test_wave,roc_auc,pr_auc,thr@R>=0.98,precision@R,recall@thr,TP,FP,TN,FN,FP_per_1000,n_test
incremental,baseline,GBM,synthetic_transactions_structured_500_1,synthetic_transactions_structured_500_2,0.7379464461363741,0.3193207309009789,0.19471631317526267,0.07109183481048463,0.8072805139186295,377,4926,4707,90,487.7227722772277,10100
full_retrain,baseline,GBM,synthetic_transactions_structured_500_1,synthetic_transactions_structured_500_2,0.7379464461363741,0.3193207309009789,0.19471631317526267,0.07109183481048463,0.8072805139186295,377,4926,4707,90,487.7227722772277,10100
incremental,baseline,XGB,synthetic_transactions_structured_500_1,synthetic_transactions_structured_500_2,0.6912553674900986,0.3066266077587683,0.12087658792734146,0.0627214741318214,0.7580299785867237,354,5290,4343,113,523.7623762376238,10100
full_retrain,baseline,XGB,synthetic_transactions_structured_500_1,synthetic_transactions_structured_500_2,0.6912553674900986,0.3066266077587683,0.12087658792734146,0.0627214741318214,0.7580299785867237,354,5290,4343,113,523.7623762376238,10100
incremental,baseline,RF,synthetic_transactions_structured_500_1,synthetic_transactions_structured_500_2,0.7128733735813119,0.3929690858186087,0.0033333333333333335,0.04627326102099712,0.9957173447537473,465,9584,49,2,948.9108910891089,10100
full_retrain,baseline,RF,synthetic_transactions_structured_500_1,synthetic_transactions_structured_500_2,0.7128733735813119,0.3929690858186087,0.0033333333333333335,0.04627326102099712,0.9957173447537473,465,9584,49,2,948.9108910891089,10100
incremental,baseline,GBM,synthetic_transactions_structured_500_2,synthetic_transactions_structured_500_3,0.6799467220100353,0.32346559810427267,0.22592454700090195,0.06725146198830409,0.7613240418118467,437,6061,3465,137,600.09900990099,10100
full_retrain,baseline,GBM,"synthetic_transactions_structured_500_1,synthetic_transactions_structured_500_2",synthetic_transactions_structured_500_3,0.6598047997741008,0.26889253339170505,0.22420005306416751,0.06783194355355997,0.7369337979094077,423,5813,3713,151,575.5445544554455,10100
incremental,baseline,XGB,synthetic_transactions_structured_500_2,synthetic_transactions_structured_500_3,0.6714577598371887,0.2712565638362702,0.17858383059501648,0.07497094149554437,0.6742160278745645,387,4775,4751,187,472.7722772277227,10100
full_retrain,baseline,XGB,"synthetic_transactions_structured_500_1,synthetic_transactions_structured_500_2",synthetic_transactions_structured_500_3,0.6530845161710368,0.27164421999967286,0.1716381013393402,0.06902654867256637,0.6794425087108014,390,5260,4266,184,520.7920792079208,10100
incremental,baseline,RF,synthetic_transactions_structured_500_2,synthetic_transactions_structured_500_3,0.697591169884585,0.3558455450745175,0.0033333333333333335,0.05723434060436262,0.9965156794425087,572,9422,104,2,932.8712871287129,10100
full_retrain,baseline,RF,"synthetic_transactions_structured_500_1,synthetic_transactions_structured_500_2",synthetic_transactions_structured_500_3,0.7017504266701586,0.38608551164028415,0.0033333333333333335,0.05700358137684043,0.9982578397212544,573,9479,47,1,938.5148514851485,10100
incremental,baseline,GBM,synthetic_transactions_structured_500_3,synthetic_transactions_structured_500_4,0.6412430860422383,0.2843031865872352,0.22241807141236006,0.0527363184079602,0.8265107212475633,424,7616,1971,89,754.059405940594,10100
full_retrain,baseline,GBM,"synthetic_transactions_structured_500_1,synthetic_transactions_structured_500_2,synthetic_transactions_structured_500_3",synthetic_transactions_structured_500_4,0.7151305038438382,0.3486968087956325,0.22086724576518257,0.058142594054196264,0.8615984405458089,442,7160,2427,71,708.9108910891089,10100
incremental,baseline,XGB,synthetic_transactions_structured_500_3,synthetic_transactions_structured_500_4,0.6359116908435338,0.2912189871399279,0.16196422278881073,0.05338559264765509,0.7699805068226121,395,7004,2583,118,693.4653465346535,10100
full_retrain,baseline,XGB,"synthetic_transactions_structured_500_1,synthetic_transactions_structured_500_2,synthetic_transactions_structured_500_3",synthetic_transactions_structured_500_4,0.686225112751165,0.32225426287136866,0.1699804663658142,0.06101169508242919,0.8440545808966862,433,6664,2923,80,659.8019801980198,10100
incremental,baseline,RF,synthetic_transactions_structured_500_3,synthetic_transactions_structured_500_4,0.687209938084203,0.32786961458555985,0.01,0.05333475844377939,0.9727095516569201,499,8857,730,14,876.9306930693069,10100
full_retrain,baseline,RF,"synthetic_transactions_structured_500_1,synthetic_transactions_structured_500_2,synthetic_transactions_structured_500_3",synthetic_transactions_structured_500_4,0.6923566086385254,0.33977545595741426,0.0033333333333333335,0.050768468021814575,0.9980506822612085,512,9573,14,1,947.8217821782177,10100
incremental,baseline,GBM,synthetic_transactions_structured_500_4,synthetic_transactions_structured_500_5,0.7530202522305707,0.3326260850778113,0.1926075522834368,0.06161596589808177,0.7832512315270936,318,4843,4851,88,479.5049504950495,10100
full_retrain,baseline,GBM,"synthetic_transactions_structured_500_1,synthetic_transactions_structured_500_2,synthetic_transactions_structured_500_3,synthetic_transactions_structured_500_4",synthetic_transactions_structured_500_5,0.7029682165902225,0.3117329870285533,0.23826179552866172,0.050064808813998704,0.7610837438423645,309,5863,3831,97,580.4950495049504,10100
incremental,baseline,XGB,synthetic_transactions_structured_500_4,synthetic_transactions_structured_500_5,0.7377843285318937,0.24864701899698866,0.14445197582244873,0.05743863750208716,0.8472906403940886,344,5645,4049,62,558.910891089109,10100
full_retrain,baseline,XGB,"synthetic_transactions_structured_500_1,synthetic_transactions_structured_500_2,synthetic_transactions_structured_500_3,synthetic_transactions_structured_500_4",synthetic_transactions_structured_500_5,0.7187380899871029,0.3232259696078801,0.1975896954536438,0.050743131661912626,0.8325123152709359,338,6323,3371,68,626.039603960396,10100
incremental,baseline,RF,synthetic_transactions_structured_500_4,synthetic_transactions_structured_500_5,0.7340718345917083,0.35991525170710365,0.006666666666666667,0.040886549944337616,0.9950738916256158,404,9477,217,2,938.3168316831683,10100
full_retrain,baseline,RF,"synthetic_transactions_structured_500_1,synthetic_transactions_structured_500_2,synthetic_transactions_structured_500_3,synthetic_transactions_structured_500_4",synthetic_transactions_structured_500_5,0.7313732479894628,0.39448487954783507,0.006666666666666667,0.04020200019803941,1.0,406,9693,1,0,959.7029702970297,10100
incremental,rose,GBM,synthetic_transactions_structured_500_1,synthetic_transactions_structured_500_2,0.6082753098678682,0.08068569502702072,0.06583106220266548,0.04623762376237624,1.0,467,9633,0,0,953.7623762376237,10100
full_retrain,rose,GBM,synthetic_transactions_structured_500_1,synthetic_transactions_structured_500_2,0.6082753098678682,0.08068569502702072,0.06583106220266548,0.04623762376237624,1.0,467,9633,0,0,953.7623762376237,10100
incremental,rose,XGB,synthetic_transactions_structured_500_1,synthetic_transactions_structured_500_2,0.6496207384901695,0.1638861958221744,0.0869283378124237,0.04623762376237624,1.0,467,9633,0,0,953.7623762376237,10100
full_retrain,rose,XGB,synthetic_transactions_structured_500_1,synthetic_transactions_structured_500_2,0.6496207384901695,0.1638861958221744,0.0869283378124237,0.04623762376237624,1.0,467,9633,0,0,953.7623762376237,10100
incremental,rose,RF,synthetic_transactions_structured_500_1,synthetic_transactions_structured_500_2,0.5023877370148252,0.04644901047044631,0.08333333333333333,0.04623762376237624,1.0,467,9633,0,0,953.7623762376237,10100
full_retrain,rose,RF,synthetic_transactions_structured_500_1,synthetic_transactions_structured_500_2,0.5023877370148252,0.04644901047044631,0.08333333333333333,0.04623762376237624,1.0,467,9633,0,0,953.7623762376237,10100
incremental,rose,GBM,synthetic_transactions_structured_500_2,synthetic_transactions_structured_500_3,0.6127642776307791,0.14880366539976045,0.09082164240976622,0.056831683168316834,1.0,574,9526,0,0,943.1683168316831,10100
full_retrain,rose,GBM,"synthetic_transactions_structured_500_1,synthetic_transactions_structured_500_2",synthetic_transactions_structured_500_3,0.6833559683711771,0.282505685006315,0.06894125110474823,0.056831683168316834,1.0,574,9526,0,0,943.1683168316831,10100
incremental,rose,XGB,synthetic_transactions_structured_500_2,synthetic_transactions_structured_500_3,0.5602360237633149,0.080616907451209,0.12024173885583878,0.056831683168316834,1.0,574,9526,0,0,943.1683168316831,10100
full_retrain,rose,XGB,"synthetic_transactions_structured_500_1,synthetic_transactions_structured_500_2",synthetic_transactions_structured_500_3,0.592804965833468,0.1409164539298807,0.08734054118394852,0.056831683168316834,1.0,574,9526,0,0,943.1683168316831,10100
incremental,rose,RF,synthetic_transactions_structured_500_2,synthetic_transactions_structured_500_3,0.4995976535153012,0.05678865228638057,0.11,0.056831683168316834,1.0,574,9526,0,0,943.1683168316831,10100
