mode,variant,algo,waves,roc_auc_mean,pr_auc_mean,precision@R_mean,recall@thr_mean,FP_per_1000_mean
full_retrain,baseline,GBM,4.0,0.7039624915861339,0.3121607650292174,0.0617827953080599,0.7917241240540527,588.1683168316831
full_retrain,baseline,RF,4.0,0.7095884142198647,0.37832873324103555,0.048561827654422886,0.9980064666840526,948.7376237623762
full_retrain,baseline,XGB,4.0,0.6873257715998509,0.3059377650594225,0.060875712387182396,0.7785098458662868,582.5990099009902
full_retrain,rose,GBM,4.0,0.642970180459517,0.22340637150081147,0.048514851485148516,1.0,951.4851485148515
full_retrain,rose,RF,4.0,0.5303672351281723,0.07057072122732615,0.048514851485148516,1.0,951.4851485148515
full_retrain,rose,XGB,4.0,0.6402124992433721,0.20491577396521546,0.048514851485148516,1.0,951.4851485148515
incremental,baseline,GBM,4.0,0.7030391266048046,0.3149289001675745,0.06317389527620768,0.7945916271262832,580.3465346534653
incremental,baseline,RF,4.0,0.707936579035452,0.3591498742964474,0.04943222750336919,0.9900041168696979,924.2574257425742
incremental,baseline,XGB,4.0,0.6841022866756787,0.27943729443298876,0.062129161444277006,0.7623792884194972,562.2277227722773
incremental,rose,GBM,4.0,0.6261847809819899,0.15101602805639563,0.048514851485148516,1.0,951.4851485148515
incremental,rose,RF,4.0,0.5018218198880272,0.04860648883191721,0.048514851485148516,1.0,951.4851485148515
incremental,rose,XGB,4.0,0.612544017764158,0.13600385383758812,0.048514851485148516,1.0,951.4851485148515
