dataset,variant,data packages,model,n_train_suspicious,n_test_suspicious_eval,n_classes_train,accuracy,f1_macro,precision_macro,recall_macro,topk_recall@1,topk_recall@2,topk_recall@3,k_at_topk_recall>=0.98,n_features_used
LARGE_500,baseline,B1,GBM,1652,453,5,0.95806,0.70919,0.70535,0.71960,0.95806,0.97572,0.98455,3,123
LARGE_500,baseline,B2,GBM,1542,467,8,0.83726,0.43750,0.71259,0.38291,0.83726,0.89293,0.89936,7,123
LARGE_500,baseline,B3,GBM,2034,583,22,0.90223,0.51649,0.57894,0.54366,0.90223,0.92624,0.96741,4,123
LARGE_500,baseline,B4,GBM,2077,516,29,0.93605,0.40353,0.45845,0.38338,0.93605,0.95155,0.95543,10,123
LARGE_500,baseline,B5,GBM,1937,409,33,0.83863,0.41852,0.48986,0.41378,0.83863,0.89976,0.92421,10,123
LARGE_500,baseline,B1,RF,1652,453,5,0.81457,0.52321,0.67952,0.52566,0.81457,0.99338,1.00000,2,123
LARGE_500,baseline,B2,RF,1542,467,8,0.86081,0.55444,0.73247,0.50592,0.86081,1.00000,1.00000,2,123
LARGE_500,baseline,B3,RF,2034,583,22,0.80961,0.09501,0.18380,0.08332,0.80961,0.99314,0.99828,2,123
LARGE_500,baseline,B4,RF,2077,516,29,0.88178,0.11876,0.16014,0.10648,0.88178,0.94767,0.96512,5,123
LARGE_500,baseline,B5,RF,1937,409,33,0.75795,0.06310,0.08787,0.06250,0.75795,0.87042,0.90220,10,123
LARGE_500,baseline,B1,XGB,1652,453,5,0.77263,0.35048,0.52040,0.35807,0.77263,0.97792,1.00000,3,123
LARGE_500,baseline,B2,XGB,1542,467,8,0.82655,0.36808,0.45538,0.32741,0.82655,0.99358,1.00000,2,123
LARGE_500,baseline,B3,XGB,2034,583,22,0.93139,0.65993,0.71978,0.64094,0.93139,0.97770,0.98971,3,123
LARGE_500,baseline,B4,XGB,2077,516,29,0.92442,0.32736,0.36743,0.32017,0.92442,0.95349,0.97674,6,123
LARGE_500,baseline,B5,XGB,1937,409,33,0.87042,0.36579,0.37505,0.41808,0.87042,0.91198,0.93888,8,123
