dataset,variant,data packages,model,n_train_suspicious,n_test_suspicious_eval,n_classes_train,accuracy,f1_macro,precision_macro,recall_macro,topk_recall@1,topk_recall@2,topk_recall@3,k_at_topk_recall>=0.98,n_features_used
SMALL_100,baseline,B1,GBM,65,35,7,0.34286,0.40741,0.50000,0.38095,0.34286,0.48571,0.48571,6,123
SMALL_100,baseline,B2,GBM,72,28,8,0.60714,0.58185,0.53497,0.75000,0.60714,0.67857,0.67857,7,123
SMALL_100,baseline,B3,GBM,80,20,7,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1,123
SMALL_100,baseline,B4,GBM,71,29,9,0.89655,0.88474,0.91296,0.88889,0.89655,0.89655,0.93103,8,123
SMALL_100,baseline,B5,GBM,70,30,5,0.96667,0.90351,0.87500,0.97500,0.96667,0.96667,0.96667,5,123
SMALL_100,baseline,B1,RF,65,35,7,0.42857,0.34354,0.34286,0.38776,0.42857,0.45714,0.51429,5,123
SMALL_100,baseline,B2,RF,72,28,8,0.89286,0.87719,0.87500,0.93182,0.89286,0.96429,1.00000,3,123
SMALL_100,baseline,B3,RF,80,20,7,0.95000,0.93333,0.94444,0.94444,0.95000,1.00000,1.00000,2,123
SMALL_100,baseline,B4,RF,71,29,9,0.86207,0.87525,0.92460,0.88889,0.86207,0.93103,0.96552,4,123
SMALL_100,baseline,B5,RF,70,30,5,0.76667,0.52778,0.53125,0.70000,0.76667,1.00000,1.00000,2,123
SMALL_100,baseline,B1,XGB,65,35,7,0.28571,0.26154,0.23636,0.40000,0.28571,0.37143,0.51429,7,123
SMALL_100,baseline,B2,XGB,72,28,8,0.57143,0.49684,0.42013,0.66667,0.57143,0.78571,0.96429,4,123
SMALL_100,baseline,B3,XGB,80,20,7,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1,123
SMALL_100,baseline,B4,XGB,71,29,9,0.89655,0.90194,0.90370,0.91667,0.89655,0.93103,0.96552,5,123
SMALL_100,baseline,B5,XGB,70,30,5,0.76667,0.52778,0.53125,0.70000,0.76667,1.00000,1.00000,2,123
