wave,variant,algo,roc_auc,pr_auc,thr@R>=0.98,precision@R,recall@thr,TP,FP,TN,FN,FP_per_1000,n_test
synthetic_transactions_structured_100_1,baseline,GBM,0.9999568189996402,0.9977443609022557,0.0016640363953955152,0.9210526315789473,1.0,35,3,1982,0,1.4851485148514851,2020
synthetic_transactions_structured_100_1,baseline,XGB,1.0,1.0,0.05370926159499009,1.0,1.0,35,0,1985,0,0.0,2020
synthetic_transactions_structured_100_1,baseline,RF,0.9998848506657071,0.9939061078977045,0.0057566460745647205,0.875,1.0,35,5,1980,0,2.4752475247524752,2020
synthetic_transactions_structured_100_2,baseline,GBM,1.0,0.9999999999999999,0.7325770912265466,1.0,1.0,28,0,1992,0,0.0,2020
synthetic_transactions_structured_100_2,baseline,XGB,0.9999820711417097,0.9987684729064039,0.7662365868863279,0.9655172413793104,1.0,28,1,1991,0,0.49504950495049505,2020
synthetic_transactions_structured_100_2,baseline,RF,1.0,1.0,0.17632676254397142,1.0,1.0,28,0,1992,0,0.0,2020
synthetic_transactions_structured_100_3,baseline,GBM,0.9999999999999999,1.0,0.03827946323874212,1.0,1.0,20,0,2000,0,0.0,2020
synthetic_transactions_structured_100_3,baseline,XGB,1.0,1.0,0.02333110435001551,1.0,1.0,20,0,2000,0,0.0,2020
synthetic_transactions_structured_100_3,baseline,RF,1.0,1.0,0.10395536344210815,1.0,1.0,20,0,2000,0,0.0,2020
synthetic_transactions_structured_100_4,baseline,GBM,0.9999653613675331,0.9976615140705509,0.03501882586827823,0.9666666666666667,1.0,29,1,1990,0,0.49504950495049505,2020
synthetic_transactions_structured_100_4,baseline,XGB,0.9999826806837666,0.9988505747126436,0.15386418301724294,0.9666666666666667,1.0,29,1,1990,0,0.49504950495049505,2020
synthetic_transactions_structured_100_4,baseline,RF,1.0,0.9999999999999998,0.018347003384437517,1.0,1.0,29,0,1991,0,0.0,2020
synthetic_transactions_structured_100_5,baseline,GBM,0.9999999999999999,0.9999999999999999,0.001061345137532993,1.0,1.0,30,0,1990,0,0.0,2020
