variant,algo,test_wave,score,roc_auc,pr_auc,brier,thr@R>=0.98,precision@R,recall@thr,FP_per_1000
baseline,GBM,synthetic_transactions_structured_500_2,raw,0.7467167087796655,0.3297109143798575,0.10065359214536543,0.18014395881628992,0.06927018907934264,0.8394004282655246,521.4851485148515
baseline,GBM,synthetic_transactions_structured_500_2,platt,0.7467167087796655,0.3297109143798575,0.037174445087445,0.0048865306991537644,0.06927018907934264,0.8394004282655246,521.4851485148515
baseline,XGB,synthetic_transactions_structured_500_2,raw,0.6893595600953273,0.2967974028176651,0.09763458392324327,0.13708551228046417,0.06305329719963866,0.7473233404710921,513.4653465346535
baseline,XGB,synthetic_transactions_structured_500_2,platt,0.6893595600953273,0.2967974028176651,0.03845779954985299,0.004941960704173749,0.06305329719963866,0.7473233404710921,513.4653465346535
baseline,RF,synthetic_transactions_structured_500_2,raw,0.7130916631822579,0.396687551334609,0.03488226191419142,0.0033333333333333335,0.04626510798494155,1.0,953.1683168316831
baseline,RF,synthetic_transactions_structured_500_2,platt,0.7130376465091115,0.3966008889777906,0.03342793290890774,0.019433140077981245,0.04625136179063088,1.0,953.4653465346535
baseline,GBM,synthetic_transactions_structured_500_3,raw,0.6737008414893843,0.2876714124537986,0.13467543225043047,0.2037402150012595,0.06747275712792954,0.7874564459930313,618.5148514851485
baseline,GBM,synthetic_transactions_structured_500_3,platt,0.6737008414893843,0.2876714124537986,0.047735410458821036,0.005060148408679447,0.06747275712792954,0.7874564459930313,618.5148514851485
baseline,XGB,synthetic_transactions_structured_500_3,raw,0.6611613475242157,0.28276869021011103,0.10900446838691773,0.16603432595729828,0.07013959822948587,0.7177700348432056,540.7920792079208
baseline,XGB,synthetic_transactions_structured_500_3,platt,0.6611613475242157,0.28276869021011103,0.04796657771361474,0.004359566959917759,0.07013959822948587,0.7177700348432056,540.7920792079208
baseline,RF,synthetic_transactions_structured_500_3,raw,0.7172581403838092,0.38984237096996843,0.04423466245858649,0.0033333333333333335,0.05684293919588037,1.0,942.9702970297029
baseline,RF,synthetic_transactions_structured_500_3,platt,0.7172021776454831,0.38968095368567457,0.043520212102492566,0.018661678204633013,0.05684293919588037,1.0,942.9702970297029
baseline,GBM,synthetic_transactions_structured_500_4,raw,0.7208890938447958,0.3591710056088385,0.11780287151498695,0.2319699590181792,0.05913978494623656,0.8576998050682261,693.0693069306931
baseline,GBM,synthetic_transactions_structured_500_4,platt,0.7208890938447958,0.3591710056088385,0.040001773437197415,0.0075824467102335365,0.05913978494623656,0.8576998050682261,693.0693069306931
baseline,XGB,synthetic_transactions_structured_500_4,raw,0.6920057639782267,0.33183652330049584,0.09633322846917322,0.1949228048324585,0.06237903826112848,0.8167641325536062,623.5643564356436
baseline,XGB,synthetic_transactions_structured_500_4,platt,0.6920057639782267,0.33183652330049584,0.04038888964513987,0.0060146217121498455,0.06237903826112848,0.8167641325536062,623.5643564356436
baseline,RF,synthetic_transactions_structured_500_4,raw,0.7011399249023664,0.3463059845591147,0.04038409760176018,0.006666666666666667,0.05079207920792079,1.0,949.2079207920791
baseline,RF,synthetic_transactions_structured_500_4,platt,0.7011940104889438,0.3461337427969301,0.039750422926727175,0.021080341564503068,0.05079207920792079,1.0,949.2079207920791
baseline,GBM,synthetic_transactions_structured_500_5,raw,0.6967770425259239,0.3150884940250458,0.12412823170902472,0.23416259837109654,0.04576367242844999,0.7955665024630542,666.8316831683169
baseline,GBM,synthetic_transactions_structured_500_5,platt,0.6967770425259239,0.3150884940250458,0.03227776364382137,0.008565814031775651,0.04576367242844999,0.7955665024630542,666.8316831683169
baseline,XGB,synthetic_transactions_structured_500_5,raw,0.7172170384199866,0.32022838648570323,0.10367354565874731,0.19915542006492615,0.049436887523767736,0.8325123152709359,643.4653465346535
baseline,XGB,synthetic_transactions_structured_500_5,platt,0.7172170384199866,0.32022838648570323,0.032158542626735766,0.00686508675511554,0.049436887523767736,0.8325123152709359,643.4653465346535
baseline,RF,synthetic_transactions_structured_500_5,raw,0.7371148270069039,0.3986826261516949,0.031252943586358634,0.006666666666666667,0.0401980198019802,1.0,959.8019801980198
baseline,RF,synthetic_transactions_structured_500_5,platt,0.737168437944958,0.3985818126523473,0.029612186257500162,0.020824257980671234,0.0401980198019802,1.0,959.8019801980198
rose,GBM,synthetic_transactions_structured_500_2,raw,0.6212729884846678,0.08972660662811296,0.9495572629993971,0.07521650991548923,0.04623762376237624,1.0,953.7623762376237
rose,GBM,synthetic_transactions_structured_500_2,platt,0.6212729884846678,0.08972660662811296,0.9520602230752762,0.03920129216158079,0.04623762376237624,1.0,953.7623762376237
rose,XGB,synthetic_transactions_structured_500_2,raw,0.6951848025979575,0.25484510296541163,0.9529672331705608,0.08147645741701126,0.04623762376237624,1.0,953.7623762376237
