variant,algo,score,waves,roc_auc_mean,pr_auc_mean,brier_mean,precision@R_mean,recall@thr_mean,FP_per_1000_mean
baseline,GBM,platt,4.0,0.7095209216599423,0.3229104566168851,0.039297348156821205,0.06041160089548968,0.820030795447459,624.9752475247525
baseline,GBM,raw,4.0,0.7095209216599423,0.3229104566168851,0.1193150319049519,0.06041160089548968,0.820030795447459,624.9752475247525
baseline,RF,platt,4.0,0.7171505681471242,0.3827493495281856,0.03657768854890691,0.04852109999910306,1.0,951.3613861386139
baseline,RF,raw,4.0,0.7171511388688343,0.3828796332538468,0.03768849139022418,0.04852453654768073,1.0,951.2871287128713
baseline,XGB,platt,4.0,0.6899359275044391,0.3079077507034938,0.03974295238383584,0.06125220530350519,0.7785924557847099,580.3217821782177
baseline,XGB,raw,4.0,0.6899359275044391,0.3079077507034938,0.10166145660952039,0.06125220530350519,0.7785924557847099,580.3217821782177
rose,GBM,platt,4.0,0.6404009729454314,0.22613633683262013,0.9492401816514232,0.048514851485148516,1.0,951.4851485148515
rose,GBM,raw,4.0,0.6404009729454314,0.22613633683262013,0.9291261322642517,0.048514851485148516,1.0,951.4851485148515
rose,RF,platt,4.0,0.5063347755472968,0.061729347900370726,0.9491074943863078,0.048514851485148516,1.0,951.4851485148515
rose,RF,raw,4.0,0.5068986248080319,0.06269813621093155,0.9474371483278328,0.048514851485148516,1.0,951.4851485148515
rose,XGB,platt,4.0,0.6530323329910995,0.23361259373207507,0.9501587807242486,0.048514851485148516,1.0,951.4851485148515
rose,XGB,raw,4.0,0.6530323329910995,0.23361259373207507,0.9500936782846624,0.048514851485148516,1.0,951.4851485148515
