"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"EZCXDHSP","webpage","2025","jpmorgan","Payments data for Fraud Detection","","","","","https://www.jpmorgan.com/technology/artificial-intelligence/initiatives/synthetic-data/payments-data-for-fraud-detection","","2025","2025-02-25 14:00:57","2026-01-25 22:12:35","2025-02-25 14:00:57","","","","","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FUWW8PQZ","webpage","","Linkedin","(10) Synthetic Data in AML: A Game-Changer for Financial Crime Prevention | LinkedIn","","","","","https://www.linkedin.com/pulse/synthetic-data-aml-game-changer-financial-crime-anjana-roy-cams-zyw5c/","","","2025-02-25 14:33:14","2026-01-25 22:09:47","2025-02-25 14:33:14","","","","","","","","","","","","","","","","","","","","","","","C:\Users\T470s\Zotero\storage\L2TQ4VFG\synthetic-data-aml-game-changer-financial-crime-anjana-roy-cams-zyw5c.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79AS46Z8","book","","","1. An Introduction to Synthetic Data","","978-1-4842-8587-9","","","https://learning.oreilly.com/library/view/synthetic-data-for/9781484285879/html/534235_1_En_1_Chapter.xhtml","© The Author(s), under exclusive license to APress Media, LLC, part of Springer Nature 2022N. Gürsakal et al.Synthetic Data for Deep Learning https://doi-org.uwe.idm.oclc.org/10.1007/978-1-4842-8587-9_11. An...","","2025-02-25 14:44:07","2025-02-25 14:44:07","2025-02-25 14:44:07","","","","","","","","","","","","","","en","","","","","learning-oreilly-com.uwe.idm.oclc.org","","","","C:\Users\T470s\Zotero\storage\RVVAGTFL\534235_1_En_1_Chapter.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4VUNXDT6","webpage","2025","Turing","Synthetic Data Generation: Definition, Types, Techniques, & Tools","","","","","https://www.turing.com/kb/synthetic-data-generation-techniques","Synthetic data can be defined as artificially annotated information, generated by computer algorithms. Learn about techniques, tools used for data generation.","2025","2025-02-25 15:11:25","2025-05-05 16:50:40","2025-02-25 15:11:25","","","","","","","Synthetic Data Generation","","","","","","","en, en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAL6DCQX","webpage","","Dhiman, Neha","10 Gen AI Tools to Create Synthetic Data","","","","","https://insights.daffodilsw.com/blog/10-gen-ai-tools-to-create-synthetic-data","Discover the top generative AI tools for creating synthetic data that can enhance your business operations. Learn how these innovative solutions empower organizations to innovate, test, and analyze data while ensuring privacy and compliance.","","2025-02-25 15:11:34","2025-02-25 15:11:34","2025-02-25 15:11:34","","","","","","","","","","","","","","en, en-us","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DNU6E96R","webpage","","FATF, 2025","FATF Recommendations","","","","","https://www.fatf-gafi.org/en/topics/fatf-recommendations.html","","","2025-03-16 09:56:52","2025-03-16 11:09:44","2025-03-16 09:56:52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SQWC2PP2","webpage","2024","EBA.Europa","Anti-Money Laundering and Countering the Financing of Terrorism | European Banking Authority","","","","","https://www.eba.europa.eu/regulation-and-policy/anti-money-laundering-and-countering-financing-terrorism","","2024","2025-03-16 09:59:07","2026-01-30 09:35:21","2025-03-16 09:59:07","","","","","","","","","","","","","","","","","","","","","","","C:\Users\T470s\Zotero\storage\ICSQDQ5V\anti-money-laundering-and-countering-financing-terrorism.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YS63IX59","webpage","2025","fid","goAML rokasgrāmatas | Finanšu izlūkošanas dienests","","","","","https://fid.gov.lv/lv/goaml/goaml-rokasgramatas","","2025","2025-03-16 10:48:21","2026-01-25 22:11:30","2025-03-16 10:48:21","","","","","","","","","","","","","","lv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PYKV3LZV","webpage","2025","FATF","Digital Transformation of AML/CFT","","","","","https://www.fatf-gafi.org/en/publications/Digitaltransformation/Digital-transformation.html","","2025","2025-03-19 13:12:57","2026-01-25 22:11:05","2025-03-19 13:12:57","","","","","","","","","","","","","","","","","","","","","","","C:\Users\T470s\Zotero\storage\IRD59TYK\Digital-transformation.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BTXAUFB3","webpage","","Basel","Basel AML Index updates methodology to reflect rising global fraud risks","Basel Institute on Governance","","","","https://baselgovernance.org/blog/basel-aml-index-updates-methodology-reflect-rising-global-fraud-risks","The Basel AML Index – the Basel Institute’s ranking and risk assessment tool for money laundering risks around the world – will include indicators of fraud in its 2024 methodology update. The changes reflect the growing significance of fraud as a predicate offence to money laundering and as a risk that regulated entities need to consider. Though definitions of fraud vary and data is both poor and inconsistent, the social and economic consequences of fraud make it impossible to ignore in any money laundering risk assessment.","","2025-03-19 15:45:13","2026-01-25 22:10:46","2025-03-19 15:45:13","","","","","","","","","","","","","","ru","","","","","","","","","C:\Users\T470s\Zotero\storage\IGD96D8E\basel-aml-index-updates-methodology-reflect-rising-global-fraud-risks.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
