variant,algo,precision@R_mean,recall@thr_mean,FP_per_1000_mean,pr_auc_mean,roc_auc_mean,waves
rose,XGB,0.9944444444444445,1.0,0.09900990099009901,0.9998412698412699,0.9999971212666428,5.0
smote,GBM,0.9944444444444445,1.0,0.09900990099009901,0.9998412698412699,0.9999971212666428,5.0
smote,XGB,0.9944444444444445,1.0,0.09900990099009901,0.9993367771350965,0.9999884850665708,5.0
rose,GBM,0.9891891891891891,1.0,0.19801980198019803,0.9993736593736594,0.9999884850665707,5.0
rose,RF,0.9891891891891891,1.0,0.19801980198019803,0.9996911196911198,0.9999942425332854,5.0
baseline,XGB,0.9877777777777779,1.0,0.19801980198019803,0.9992800522507854,0.9999878999366814,5.0
adasyn,GBM,0.981111111111111,1.0,0.297029702970297,0.9960107239345298,0.9999469204634298,5.0
adasyn,XGB,0.9750478927203066,1.0,0.39603960396039606,0.998154152744344,0.9999710275840924,5.0
baseline,RF,0.975,1.0,0.49504950495049505,0.9989543817527011,0.9999798488664988,5.0
smote,RF,0.975,1.0,0.49504950495049505,0.9987812215795409,0.9999769701331415,5.0
adasyn,RF,0.9707317073170731,1.0,0.594059405940594,0.9977047649761177,0.9999596977329975,5.0
baseline,GBM,0.9640650406504065,1.0,0.693069306930693,0.9989338780087307,0.9999792637366094,5.0
