wave,variant,algo,roc_auc,pr_auc,thr@R>=0.98,precision@R,recall@thr,TP,FP,TN,FN,FP_per_1000,n_test
synthetic_transactions_structured_100_1,baseline,GBM,0.9999136379992803,0.9958188153310106,0.0068330551269160725,0.8536585365853658,1.0,35,6,1979,0,2.9702970297029703,2020
synthetic_transactions_structured_100_1,baseline,XGB,0.9999568189996402,0.9975496865412833,0.20543605089187622,0.9722222222222222,1.0,35,1,1984,0,0.49504950495049505,2020
synthetic_transactions_structured_100_1,baseline,RF,0.9998992443324937,0.9947719087635054,0.1,0.875,1.0,35,5,1980,0,2.4752475247524752,2020
synthetic_transactions_structured_100_2,baseline,GBM,1.0,0.9999999999999999,0.9838039210895365,1.0,1.0,28,0,1992,0,0.0,2020
synthetic_transactions_structured_100_2,baseline,XGB,1.0,1.0,0.9711301922798157,1.0,1.0,28,0,1992,0,0.0,2020
synthetic_transactions_structured_100_2,baseline,RF,1.0,1.0,0.4866666666666667,1.0,1.0,28,0,1992,0,0.0,2020
synthetic_transactions_structured_100_3,baseline,GBM,1.0,1.0,0.9999355958814264,1.0,1.0,20,0,2000,0,0.0,2020
synthetic_transactions_structured_100_3,baseline,XGB,1.0,1.0000000000000002,0.19695021212100983,1.0,1.0,20,0,2000,0,0.0,2020
synthetic_transactions_structured_100_3,baseline,RF,1.0,1.0,0.47333333333333333,1.0,1.0,20,0,2000,0,0.0,2020
synthetic_transactions_structured_100_4,baseline,GBM,0.9999826806837666,0.9988505747126434,0.4217848711913154,0.9666666666666667,1.0,29,1,1990,0,0.49504950495049505,2020
synthetic_transactions_structured_100_4,baseline,XGB,0.9999826806837666,0.9988505747126435,0.6330782771110535,0.9666666666666667,1.0,29,1,1990,0,0.49504950495049505,2020
synthetic_transactions_structured_100_4,baseline,RF,1.0,0.9999999999999998,0.21,1.0,1.0,29,0,1991,0,0.0,2020
synthetic_transactions_structured_100_5,baseline,GBM,1.0,0.9999999999999999,0.00028689672157273567,1.0,1.0,30,0,1990,0,0.0,2020
synthetic_transactions_structured_100_5,baseline,XGB,1.0,1.0,0.04049164429306984,1.0,1.0,30,0,1990,0,0.0,2020
synthetic_transactions_structured_100_5,baseline,RF,1.0,0.9999999999999999,0.45666666666666667,1.0,1.0,30,0,1990,0,0.0,2020
synthetic_transactions_structured_100_1,smote,GBM,0.9999856063332133,0.9992063492063493,0.16292825775301392,0.9722222222222222,1.0,35,1,1984,0,0.49504950495049505,2020
synthetic_transactions_structured_100_1,smote,XGB,0.9999424253328536,0.9966838856754824,0.14783242344856262,0.9722222222222222,1.0,35,1,1984,0,0.49504950495049505,2020
synthetic_transactions_structured_100_1,smote,RF,0.9998848506657071,0.9939061078977045,0.11333333333333333,0.875,1.0,35,5,1980,0,2.4752475247524752,2020
synthetic_transactions_structured_100_2,smote,GBM,1.0,0.9999999999999999,0.9962121605014878,1.0,1.0,28,0,1992,0,0.0,2020
synthetic_transactions_structured_100_2,smote,XGB,1.0,0.9999999999999999,0.9628558158874512,1.0,1.0,28,0,1992,0,0.0,2020
synthetic_transactions_structured_100_2,smote,RF,1.0,0.9999999999999999,0.49333333333333335,1.0,1.0,28,0,1992,0,0.0,2020
synthetic_transactions_structured_100_3,smote,GBM,1.0,1.0,0.0002067427000383641,1.0,1.0,20,0,2000,0,0.0,2020
synthetic_transactions_structured_100_3,smote,XGB,1.0,1.0,0.2977886199951172,1.0,1.0,20,0,2000,0,0.0,2020
synthetic_transactions_structured_100_3,smote,RF,1.0,1.0,0.56,1.0,1.0,20,0,2000,0,0.0,2020
synthetic_transactions_structured_100_4,smote,GBM,1.0,0.9999999999999999,0.33618594942253344,1.0,1.0,29,0,1991,0,0.0,2020
synthetic_transactions_structured_100_4,smote,XGB,1.0,0.9999999999999998,0.694146990776062,1.0,1.0,29,0,1991,0,0.0,2020
synthetic_transactions_structured_100_4,smote,RF,0.9999999999999999,0.9999999999999999,0.31333333333333335,1.0,1.0,29,0,1991,0,0.0,2020
synthetic_transactions_structured_100_5,smote,GBM,1.0,1.0,0.0014366743904513394,1.0,1.0,30,0,1990,0,0.0,2020
synthetic_transactions_structured_100_5,smote,XGB,1.0,0.9999999999999999,0.027318360283970833,1.0,1.0,30,0,1990,0,0.0,2020
synthetic_transactions_structured_100_5,smote,RF,1.0000000000000002,0.9999999999999999,0.37666666666666665,1.0,1.0,30,0,1990,0,0.0,2020
