variant,algo,precision@R_mean,precision@R_std,precision@R_min,precision@R_max,FP_per_1000_mean,FP_per_1000_std,FP_per_1000_min,FP_per_1000_max,pr_auc_mean,pr_auc_std,pr_auc_min,pr_auc_max,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max
adasyn,GBM,0.981111111111111,0.02929205850325351,0.9333333333333333,1.0,0.297029702970297,0.44278573811877026,0.0,0.9900990099009901,0.9960107239345298,0.00848359170016827,0.9808472704663002,1.0,0.9999469204634298,0.00011081855407761491,0.9997489959839357,1.0
baseline,GBM,0.9640650406504065,0.06338439971350038,0.8536585365853658,1.0,0.693069306930693,1.290931169347059,0.0,2.9702970297029703,0.9989338780087307,0.0018111048579573447,0.9958188153310106,1.0,0.9999792637366094,3.7444595024094466e-05,0.9999136379992803,1.0
rose,GBM,0.9891891891891891,0.024173707864862552,0.9459459459459459,1.0,0.19801980198019803,0.44278573811877026,0.0,0.9900990099009901,0.9993736593736594,0.0014005402175674344,0.9968682968682969,1.0,0.9999884850665707,2.5748173904299626e-05,0.9999424253328535,1.0
smote,GBM,0.9944444444444445,0.012422599874998795,0.9722222222222222,1.0,0.09900990099009901,0.22139286905938513,0.0,0.49504950495049505,0.9998412698412699,0.0003549314249998914,0.9992063492063493,1.0,0.9999971212666428,6.437043476118351e-06,0.9999856063332133,1.0
adasyn,RF,0.9707317073170731,0.06544589202438413,0.8536585365853658,1.0,0.594059405940594,1.3283572143563107,0.0,2.9702970297029703,0.9977047649761175,0.005132301537739251,0.9885238248805883,1.0,0.9999596977329975,9.01186086650244e-05,0.9997984886649873,1.0
baseline,RF,0.975,0.055901699437494734,0.875,1.0,0.49504950495049505,1.1069643452969256,0.0,2.4752475247524752,0.9989543817527011,0.0023380734794745464,0.9947719087635054,1.0,0.9999798488664988,4.505930433248452e-05,0.9998992443324937,1.0
rose,RF,0.9891891891891891,0.024173707864862552,0.9459459459459459,1.0,0.19801980198019803,0.44278573811877026,0.0,0.9900990099009901,0.9996911196911198,0.0006906773675674529,0.9984555984555985,1.0,0.9999942425332854,1.2874086952181362e-05,0.9999712126664267,1.0
smote,RF,0.975,0.055901699437494734,0.875,1.0,0.49504950495049505,1.1069643452969256,0.0,2.4752475247524752,0.9987812215795409,0.0027252713976562825,0.9939061078977045,1.0,0.9999769701331414,5.149634780859719e-05,0.9998848506657071,1.0000000000000002
adasyn,XGB,0.9750478927203066,0.026238698957254364,0.9375,1.0,0.39603960396039606,0.41418813194756215,0.0,0.9900990099009901,0.998154152744344,0.0018005841005180605,0.9961702113795708,1.0000000000000002,0.9999710275840924,2.798722757949757e-05,0.9999424253328536,1.0
baseline,XGB,0.9877777777777779,0.016850834320114538,0.9666666666666667,1.0,0.19801980198019803,0.27114978094315156,0.0,0.49504950495049505,0.9992800522507854,0.0010878408350015244,0.9975496865412833,1.0000000000000002,0.9999878999366814,1.892418984587171e-05,0.9999568189996402,1.0
rose,XGB,0.9944444444444445,0.012422599874998795,0.9722222222222222,1.0,0.09900990099009901,0.22139286905938513,0.0,0.49504950495049505,0.9998412698412696,0.00035493142499991315,0.9992063492063492,1.0,0.9999971212666428,6.437043476013878e-06,0.9999856063332134,1.0
smote,XGB,0.9944444444444445,0.012422599874998795,0.9722222222222222,1.0,0.09900990099009901,0.22139286905938513,0.0,0.49504950495049505,0.9993367771350965,0.0014830114101563796,0.9966838856754824,1.0,0.9999884850665708,2.574817390420912e-05,0.9999424253328536,1.0
